customer_id,first_name,last_name,phone_number,transaction_count,customer_segment,satisfaction_score
76,Christopher,Duncan,+374 (28) 686991,4.0,Occasional Buyer,7
77,William,Foster,+374 (39) 643514,2.0,Occasional Buyer,7
78,Susan,Mendoza,+374 (10) 266965,3.0,Occasional Buyer,7
79,Maria,Stanley,+374 (20) 579292,2.0,Occasional Buyer,4
80,Grace,Benjamin,+374 (26) 095651,1.0,One-Time Buyer,7
81,Angie,Thompson,+374 (92) 429177,3.0,Occasional Buyer,8
82,Christopher,Edwards,+374 (74) 405526,3.0,Occasional Buyer,9
83,Matthew,Robbins,+374 (50) 907399,1.0,One-Time Buyer,6
84,Elizabeth,Spears,+374 (22) 812089,1.0,One-Time Buyer,6
85,Jon,Williams,+374 (90) 539952,2.0,Occasional Buyer,6
86,Keith,Rodriguez,+374 (74) 995652,4.0,Occasional Buyer,8
87,Scott,Mueller,+374 (28) 656375,4.0,Occasional Buyer,7
88,Christopher,Chavez,+374 (88) 447136,7.0,Frequent Buyer,6
89,Keith,Hansen,+374 (24) 925611,3.0,Occasional Buyer,8
90,Nicole,Coffey,+374 (40) 146664,1.0,One-Time Buyer,7
91,Daniel,Cooke,+374 (78) 975852,2.0,Occasional Buyer,8
92,Jason,Nolan,+374 (65) 312493,1.0,One-Time Buyer,6
93,Matthew,Murphy,+374 (71) 139309,1.0,One-Time Buyer,7
94,Brianna,Mosley,+374 (70) 884555,7.0,Frequent Buyer,6
95,Amanda,Ward,+374 (32) 226392,2.0,Occasional Buyer,5
96,Yvonne,Mccoy,+374 (25) 576393,1.0,One-Time Buyer,7
97,Walter,Jacobson,+374 (99) 273813,4.0,Occasional Buyer,7
98,Amy,Hebert,+374 (40) 390449,3.0,Occasional Buyer,7
99,Donna,Price,+374 (40) 739317,4.0,Occasional Buyer,7
100,Lisa,Nichols,+374 (59) 913804,4.0,Occasional Buyer,5
101,Michael,Cain,+374 (27) 490432,2.0,Occasional Buyer,6
102,David,Howell,+374 (11) 988301,3.0,Occasional Buyer,6
103,Stephen,Lawrence,+374 (92) 405401,6.0,Frequent Buyer,6
104,Amber,Palmer,+374 (70) 637325,2.0,Occasional Buyer,7
105,Regina,Williams,+374 (89) 391946,2.0,Occasional Buyer,8
106,Tracy,Knox,+374 (70) 611556,1.0,One-Time Buyer,10
107,Michele,Patel,+374 (17) 021064,3.0,Occasional Buyer,7
108,Katie,Austin,+374 (77) 007904,2.0,Occasional Buyer,7
109,Dale,Thomas,+374 (46) 501286,2.0,Occasional Buyer,7
110,Jacob,Neal,+374 (18) 433655,3.0,Occasional Buyer,4
111,Sandra,Ryan,+374 (21) 661735,3.0,Occasional Buyer,7
112,Joseph,Stewart,+374 (34) 711683,2.0,Occasional Buyer,7
113,Michael,Schmidt,+374 (38) 638644,2.0,Occasional Buyer,10
114,Brittany,Douglas,+374 (33) 681143,3.0,Occasional Buyer,7
115,Brittany,Vega,+374 (18) 019124,1.0,One-Time Buyer,7
116,Sandra,Cooper,+374 (42) 994169,4.0,Occasional Buyer,7
117,Tina,Ho,+374 (86) 797104,2.0,Occasional Buyer,5
118,Meghan,Jones,+374 (55) 409042,2.0,Occasional Buyer,9
119,Erica,Norman,+374 (46) 136729,4.0,Occasional Buyer,8
120,Donald,Mclaughlin,+374 (52) 982176,2.0,Occasional Buyer,8
121,Tyler,Hall,+374 (44) 446600,5.0,Occasional Buyer,6
122,John,Wilson,+374 (51) 941698,0.0,Inactive,9
123,Andrew,Bowen,+374 (37) 945890,4.0,Occasional Buyer,5
124,Loretta,Hunter,+374 (12) 228512,1.0,One-Time Buyer,8
125,Hunter,Huang,+374 (47) 899868,4.0,Occasional Buyer,10
126,Melissa,Brennan,+374 (39) 346287,4.0,Occasional Buyer,6
127,Anna,Price,+374 (21) 915279,2.0,Occasional Buyer,6
128,David,Ellis,+374 (26) 166584,1.0,One-Time Buyer,7
129,Daniel,Horton,+374 (22) 797259,1.0,One-Time Buyer,6
130,Brandon,Beasley,+374 (48) 097258,3.0,Occasional Buyer,5
131,Jennifer,Mata,+374 (42) 762427,5.0,Occasional Buyer,7
132,Craig,Martinez,+374 (17) 111913,3.0,Occasional Buyer,5
133,John,Lester,+374 (31) 492659,1.0,One-Time Buyer,8
134,Joy,Pope,+374 (40) 918834,3.0,Occasional Buyer,6
135,Alicia,Phillips,+374 (90) 868618,2.0,Occasional Buyer,9
136,Jennifer,Huang,+374 (53) 866090,2.0,Occasional Buyer,6
137,Justin,Adams,+374 (41) 883262,3.0,Occasional Buyer,7
138,Karen,Smith,+374 (48) 203380,1.0,One-Time Buyer,8
139,Kimberly,Mcclure,+374 (33) 772144,4.0,Occasional Buyer,5
140,Suzanne,Martin,+374 (14) 331294,2.0,Occasional Buyer,7
141,Christina,Reyes,+374 (63) 198190,2.0,Occasional Buyer,9
142,Robert,Hansen,+374 (30) 636087,2.0,Occasional Buyer,5
143,Ashley,Knox,+374 (89) 724354,2.0,Occasional Buyer,7
144,Tiffany,Jones,+374 (34) 825197,3.0,Occasional Buyer,7
145,Kyle,Holmes,+374 (30) 856921,2.0,Occasional Buyer,8
146,Cynthia,Wade,+374 (29) 272246,0.0,Inactive,5
147,Corey,Herring,+374 (30) 069149,4.0,Occasional Buyer,5
148,Vincent,Choi,+374 (16) 217669,1.0,One-Time Buyer,8
149,Amanda,Douglas,+374 (54) 427219,3.0,Occasional Buyer,7
150,John,Jackson,+374 (15) 059153,2.0,Occasional Buyer,7
151,Claire,Robinson,+374 (28) 074153,1.0,One-Time Buyer,8
152,Patricia,Cook,+374 (21) 847155,3.0,Occasional Buyer,6
153,Jesse,Martin,+374 (49) 157912,3.0,Occasional Buyer,7
154,Megan,Gutierrez,+374 (22) 237145,1.0,One-Time Buyer,7
155,Susan,Delgado,+374 (65) 686798,2.0,Occasional Buyer,6
156,Tyler,Ford,+374 (41) 666899,0.0,Inactive,10
157,Benjamin,Taylor,+374 (23) 213724,4.0,Occasional Buyer,8
158,Jennifer,Barrett,+374 (78) 612494,1.0,One-Time Buyer,5
159,Luke,Mitchell,+374 (59) 926988,2.0,Occasional Buyer,8
160,Timothy,Spencer,+374 (21) 926905,0.0,Inactive,6
161,Emily,Cline,+374 (53) 992030,4.0,Occasional Buyer,8
162,Paul,Stokes,+374 (69) 885534,2.0,Occasional Buyer,9
163,James,Cummings,+374 (17) 748480,5.0,Occasional Buyer,6
164,Alejandro,Burch,+374 (54) 893853,1.0,One-Time Buyer,8
165,Molly,Hall,+374 (26) 083579,1.0,One-Time Buyer,8
166,Cheryl,Sanders,+374 (21) 161669,3.0,Occasional Buyer,8
167,Felicia,Robinson,+374 (71) 972956,3.0,Occasional Buyer,10
168,Timothy,Maldonado,+374 (84) 575467,5.0,Occasional Buyer,7
169,Eric,Gilmore,+374 (23) 625917,3.0,Occasional Buyer,6
170,Stacey,Mcdonald,+374 (31) 995451,3.0,Occasional Buyer,6
171,Thomas,Ware,+374 (48) 140866,2.0,Occasional Buyer,6
172,Steven,Fields,+374 (15) 825867,1.0,One-Time Buyer,7
173,Cynthia,Spencer,+374 (84) 442133,2.0,Occasional Buyer,8
174,Michael,Marks,+374 (45) 413101,1.0,One-Time Buyer,7
175,Matthew,Tran,+374 (44) 521018,3.0,Occasional Buyer,8
176,Anthony,Edwards,+374 (98) 513936,4.0,Occasional Buyer,7
177,Krista,Smith,+374 (73) 353520,2.0,Occasional Buyer,9
178,Kathryn,Thompson,+374 (96) 907196,2.0,Occasional Buyer,7
179,Juan,Miller,+374 (42) 369907,0.0,Inactive,10
180,Jason,Choi,+374 (67) 160268,2.0,Occasional Buyer,8
181,Paul,Hicks,+374 (29) 974872,5.0,Occasional Buyer,6
182,Larry,Casey,+374 (41) 952895,1.0,One-Time Buyer,5
183,Amy,James,+374 (88) 514171,3.0,Occasional Buyer,8
184,Jacob,Pearson,+374 (64) 044615,3.0,Occasional Buyer,7
185,Lynn,Thomas,+374 (23) 458396,5.0,Occasional Buyer,8
186,Barbara,Hensley,+374 (66) 879606,1.0,One-Time Buyer,8
187,Amber,Mcclain,+374 (10) 472555,1.0,One-Time Buyer,7
188,Christina,Hernandez,+374 (99) 736594,0.0,Inactive,6
189,Jonathan,Gonzalez,+374 (87) 400806,5.0,Occasional Buyer,5
190,Rebecca,Stephens,+374 (75) 049823,3.0,Occasional Buyer,6
191,Matthew,Keller,+374 (37) 795701,2.0,Occasional Buyer,8
192,Mason,Moyer,+374 (25) 495526,0.0,Inactive,7
193,Daniel,Daniels,+374 (93) 753203,3.0,Occasional Buyer,5
194,Julie,Flores,+374 (71) 911620,1.0,One-Time Buyer,7
195,Michael,Haney,+374 (86) 490769,3.0,Occasional Buyer,8
196,Martha,Brown,+374 (60) 702299,3.0,Occasional Buyer,6
197,Christopher,Jones,+374 (61) 853442,4.0,Occasional Buyer,7
198,Christian,Andrade,+374 (61) 227739,0.0,Inactive,7
199,Billy,Pena,+374 (33) 731658,3.0,Occasional Buyer,5
200,Jeffrey,Robinson,+374 (22) 083233,0.0,Inactive,8
201,Felicia,Hicks,+374 (60) 429297,3.0,Occasional Buyer,8
202,Pam,Nunez,+374 (80) 002788,1.0,One-Time Buyer,9
203,Travis,Smith,+374 (37) 108230,3.0,Occasional Buyer,9
204,Dennis,Jones,+374 (21) 318896,5.0,Occasional Buyer,5
205,Emily,Sanchez,+374 (23) 034432,3.0,Occasional Buyer,6
206,Christopher,Mcdaniel,+374 (93) 858098,1.0,One-Time Buyer,8
207,Mark,Baker,+374 (36) 795720,3.0,Occasional Buyer,8
208,Mary,Wallace,+374 (76) 837137,2.0,Occasional Buyer,8
209,Thomas,Martinez,+374 (11) 933460,3.0,Occasional Buyer,10
210,Tabitha,Goodman,+374 (86) 503892,3.0,Occasional Buyer,8
211,Amber,Scott,+374 (21) 061447,3.0,Occasional Buyer,9
212,Jason,Lopez,+374 (37) 194133,4.0,Occasional Buyer,8
213,Heather,Kelley,+374 (27) 029586,4.0,Occasional Buyer,8
214,Megan,Rocha,+374 (55) 474949,4.0,Occasional Buyer,7
215,Nicole,Monroe,+374 (35) 557789,5.0,Occasional Buyer,8
216,Joseph,Meadows,+374 (42) 533443,0.0,Inactive,6
217,Nathaniel,Pearson,+374 (86) 036344,3.0,Occasional Buyer,7
218,Amy,Carter,+374 (54) 321967,0.0,Inactive,6
219,Bradley,Robbins,+374 (91) 336839,5.0,Occasional Buyer,7
220,Emily,Kennedy,+374 (92) 374957,6.0,Frequent Buyer,10
221,Mary,Reynolds,+374 (21) 780076,4.0,Occasional Buyer,4
222,Gregory,Villanueva,+374 (92) 936221,3.0,Occasional Buyer,8
223,Tanya,Green,+374 (54) 639993,2.0,Occasional Buyer,5
224,Steven,Flores,+374 (40) 045503,1.0,One-Time Buyer,6
225,Kristin,Brown,+374 (38) 006852,2.0,Occasional Buyer,9
226,Keith,Barker,+374 (24) 432295,1.0,One-Time Buyer,7
227,Patty,Gonzalez,+374 (75) 562225,2.0,Occasional Buyer,5
228,Robert,Hunter,+374 (31) 397033,2.0,Occasional Buyer,6
229,Isaac,Gilbert,+374 (49) 477892,1.0,One-Time Buyer,8
230,Cindy,Marquez,+374 (85) 884903,6.0,Frequent Buyer,6
231,Doris,Schmidt,+374 (92) 164998,2.0,Occasional Buyer,7
232,Bonnie,Kennedy,+374 (69) 453992,4.0,Occasional Buyer,7
233,Ryan,Graham,+374 (87) 887465,1.0,One-Time Buyer,6
234,Gabriel,Black,+374 (93) 994384,4.0,Occasional Buyer,10
235,Jennifer,Jordan,+374 (30) 485930,4.0,Occasional Buyer,8
236,Stacey,Stafford,+374 (77) 316507,2.0,Occasional Buyer,4
237,Cody,Silva,+374 (30) 554643,3.0,Occasional Buyer,7
238,Tina,Jacobson,+374 (97) 217465,1.0,One-Time Buyer,6
239,Kurt,Mack,+374 (98) 035485,2.0,Occasional Buyer,8
240,Rebecca,Cline,+374 (33) 150977,4.0,Occasional Buyer,6
241,Jessica,Woods,+374 (57) 799909,4.0,Occasional Buyer,7
242,Wesley,Vasquez,+374 (43) 006180,3.0,Occasional Buyer,8
243,Brian,Bradley,+374 (79) 140473,3.0,Occasional Buyer,8
244,Tracy,Cardenas,+374 (99) 298885,3.0,Occasional Buyer,5
245,Tracy,Castillo,+374 (60) 333172,1.0,One-Time Buyer,6
246,Matthew,Ferguson,+374 (52) 784464,6.0,Frequent Buyer,6
247,Ashley,Morales,+374 (84) 209330,4.0,Occasional Buyer,6
248,Arthur,Martin,+374 (87) 981147,1.0,One-Time Buyer,10
249,Jeffery,Hoffman,+374 (49) 958216,4.0,Occasional Buyer,8
250,Anthony,Powell,+374 (36) 593146,0.0,Inactive,5
251,Antonio,Gonzales,+374 (85) 099374,4.0,Occasional Buyer,8
252,Kirk,Evans,+374 (56) 080767,3.0,Occasional Buyer,10
253,William,Chambers,+374 (65) 076740,2.0,Occasional Buyer,9
254,John,Jones,+374 (20) 675977,1.0,One-Time Buyer,5
255,Rebecca,Hernandez,+374 (14) 277421,4.0,Occasional Buyer,6
256,Paul,Jordan,+374 (52) 991441,1.0,One-Time Buyer,9
257,Michelle,Peters,+374 (15) 950024,3.0,Occasional Buyer,6
258,Amy,Mckee,+374 (32) 908476,1.0,One-Time Buyer,8
259,Brett,Nguyen,+374 (95) 270094,2.0,Occasional Buyer,8
260,Stephen,Walker,+374 (34) 697481,4.0,Occasional Buyer,6
261,Michael,Holt,+374 (99) 944150,4.0,Occasional Buyer,7
262,Mackenzie,Glover,+374 (80) 226835,1.0,One-Time Buyer,2
263,Jared,Williams,+374 (65) 067183,2.0,Occasional Buyer,5
264,Amy,Cole,+374 (93) 088885,2.0,Occasional Buyer,7
265,Natalie,Gill,+374 (83) 518809,7.0,Frequent Buyer,5
266,Christopher,Graham,+374 (64) 032882,0.0,Inactive,9
267,Jamie,Smith,+374 (18) 193518,1.0,One-Time Buyer,5
268,Richard,Cross,+374 (48) 468188,5.0,Occasional Buyer,6
269,Brianna,Watson,+374 (69) 992845,2.0,Occasional Buyer,7
270,Daniel,Harper,+374 (81) 749981,5.0,Occasional Buyer,9
271,Jason,Kim,+374 (73) 129429,3.0,Occasional Buyer,5
272,Micheal,Simmons,+374 (38) 356950,1.0,One-Time Buyer,9
273,Lisa,Williams,+374 (24) 142655,5.0,Occasional Buyer,7
274,Victoria,Garcia,+374 (92) 481567,4.0,Occasional Buyer,6
275,Matthew,Cook,+374 (41) 292508,2.0,Occasional Buyer,8
276,Laura,Morgan,+374 (53) 667873,0.0,Inactive,7
277,Karen,Foster,+374 (13) 147920,2.0,Occasional Buyer,6
278,William,Owen,+374 (44) 699266,2.0,Occasional Buyer,7
279,Deanna,Hardin,+374 (44) 695100,2.0,Occasional Buyer,6
280,Christina,Wu,+374 (32) 486581,3.0,Occasional Buyer,7
281,Sheena,Chambers,+374 (68) 788649,1.0,One-Time Buyer,8
282,Lauren,Marshall,+374 (12) 965963,3.0,Occasional Buyer,9
283,David,Moreno,+374 (74) 152077,2.0,Occasional Buyer,5
284,Stacie,Green,+374 (16) 433022,2.0,Occasional Buyer,10
285,Monica,Gonzalez,+374 (64) 179668,3.0,Occasional Buyer,4
286,Kimberly,Gentry,+374 (59) 580820,2.0,Occasional Buyer,7
287,Jennifer,Sanders,+374 (38) 171831,1.0,One-Time Buyer,8
288,Christina,Terry,+374 (92) 540100,2.0,Occasional Buyer,7
289,Laura,Kirk,+374 (30) 943399,2.0,Occasional Buyer,6
290,Diane,Lee,+374 (32) 038098,2.0,Occasional Buyer,7
291,Karen,Castro,+374 (76) 155105,2.0,Occasional Buyer,6
292,Jason,Gould,+374 (10) 458509,5.0,Occasional Buyer,6
293,Robin,Robinson,+374 (88) 432611,0.0,Inactive,8
294,Jessica,Wallace,+374 (51) 283868,1.0,One-Time Buyer,8
295,William,Cortez,+374 (60) 969973,2.0,Occasional Buyer,6
296,Melissa,Lowe,+374 (79) 807987,2.0,Occasional Buyer,8
297,Adrian,King,+374 (60) 694916,3.0,Occasional Buyer,7
298,Brenda,Woods,+374 (68) 028608,1.0,One-Time Buyer,8
299,Emily,Krueger,+374 (44) 692253,1.0,One-Time Buyer,8
300,John,Ferguson,+374 (85) 982110,4.0,Occasional Buyer,6
301,Seth,George,+374 (45) 904229,5.0,Occasional Buyer,6
302,Jacqueline,Patterson,+374 (75) 255256,1.0,One-Time Buyer,8
303,Kathleen,Yoder,+374 (72) 254693,7.0,Frequent Buyer,8
304,Tracy,Brown,+374 (77) 313308,3.0,Occasional Buyer,7
305,Lisa,Hall,+374 (94) 935590,1.0,One-Time Buyer,7
306,Jeffery,Price,+374 (86) 710886,0.0,Inactive,9
307,Kimberly,Young,+374 (23) 080601,0.0,Inactive,6
308,Jeffrey,Lewis,+374 (17) 339068,3.0,Occasional Buyer,8
309,Michelle,Khan,+374 (64) 922880,3.0,Occasional Buyer,7
310,Leslie,Walker,+374 (60) 310089,2.0,Occasional Buyer,7
311,Michelle,Curtis,+374 (42) 024544,4.0,Occasional Buyer,9
312,Brian,Young,+374 (21) 113881,2.0,Occasional Buyer,8
313,Ryan,Walker,+374 (63) 796430,2.0,Occasional Buyer,8
314,Brandon,Wallace,+374 (66) 153022,2.0,Occasional Buyer,9
315,Ronald,Peterson,+374 (83) 031949,4.0,Occasional Buyer,7
316,Carolyn,Henderson,+374 (50) 145212,6.0,Frequent Buyer,8
317,Sean,Blanchard,+374 (62) 419317,3.0,Occasional Buyer,7
318,Joseph,Hays,+374 (12) 137143,5.0,Occasional Buyer,7
319,James,Johnston,+374 (50) 913420,2.0,Occasional Buyer,7
320,David,Ferguson,+374 (20) 127047,3.0,Occasional Buyer,7
321,Troy,Vazquez,+374 (30) 020789,1.0,One-Time Buyer,8
322,Adrian,Mahoney,+374 (40) 809696,2.0,Occasional Buyer,6
323,Robert,Norton,+374 (54) 108205,2.0,Occasional Buyer,10
324,Corey,Reese,+374 (59) 657856,5.0,Occasional Buyer,5
325,Elizabeth,Melton,+374 (78) 258454,3.0,Occasional Buyer,5
326,David,Freeman,+374 (18) 727175,1.0,One-Time Buyer,9
327,Tammy,Adkins,+374 (73) 481650,6.0,Frequent Buyer,8
328,Patrick,Potter,+374 (43) 514473,6.0,Frequent Buyer,8
329,Matthew,Hanna,+374 (40) 329754,1.0,One-Time Buyer,8
330,John,Soto,+374 (19) 114598,2.0,Occasional Buyer,7
331,Jason,Stephens,+374 (52) 414755,2.0,Occasional Buyer,6
332,Stephen,Miller,+374 (26) 776593,2.0,Occasional Buyer,7
333,Tracy,Gibson,+374 (86) 205677,4.0,Occasional Buyer,6
334,Miguel,Hickman,+374 (76) 570542,3.0,Occasional Buyer,8
335,Robert,Riddle,+374 (16) 505983,2.0,Occasional Buyer,7
336,Jason,Collins,+374 (38) 463852,4.0,Occasional Buyer,6
337,Tara,Schroeder,+374 (20) 380167,2.0,Occasional Buyer,7
338,Lindsey,Wallace,+374 (81) 916651,3.0,Occasional Buyer,8
339,Catherine,Pittman,+374 (77) 485266,0.0,Inactive,6
340,Brenda,Leonard,+374 (36) 390018,0.0,Inactive,6
341,James,Hernandez,+374 (78) 199377,3.0,Occasional Buyer,7
342,Karen,Church,+374 (96) 083594,1.0,One-Time Buyer,7
343,Kevin,Chen,+374 (21) 589185,4.0,Occasional Buyer,6
344,Victoria,Munoz,+374 (24) 030842,2.0,Occasional Buyer,6
345,Nicole,Brown,+374 (22) 168433,3.0,Occasional Buyer,7
346,Christopher,Chavez,+374 (83) 833490,1.0,One-Time Buyer,5
347,Bryan,Ramsey,+374 (57) 170574,4.0,Occasional Buyer,5
348,Richard,Stewart,+374 (45) 159400,2.0,Occasional Buyer,6
349,Megan,Flores,+374 (50) 520526,1.0,One-Time Buyer,7
350,Tony,Mcintosh,+374 (26) 980024,4.0,Occasional Buyer,7
351,Brenda,Bean,+374 (57) 595809,2.0,Occasional Buyer,9
352,Paula,Davis,+374 (68) 666989,1.0,One-Time Buyer,8
353,Erica,Lewis,+374 (66) 255422,3.0,Occasional Buyer,7
354,David,Wilson,+374 (18) 104711,6.0,Frequent Buyer,7
355,Marc,Curtis,+374 (70) 603336,4.0,Occasional Buyer,5
356,Jeremy,Young,+374 (65) 988155,2.0,Occasional Buyer,7
357,Bernard,Simmons,+374 (58) 170553,1.0,One-Time Buyer,7
358,Kevin,Jenkins,+374 (27) 577685,0.0,Inactive,7
359,Carmen,Fuentes,+374 (61) 025559,3.0,Occasional Buyer,6
360,Brandon,Copeland,+374 (47) 787481,1.0,One-Time Buyer,8
361,Luis,Collins,+374 (75) 503000,3.0,Occasional Buyer,9
362,Victoria,Hill,+374 (68) 844097,4.0,Occasional Buyer,7
363,Jennifer,Harrison,+374 (78) 142600,3.0,Occasional Buyer,8
364,Sharon,Butler,+374 (60) 344114,3.0,Occasional Buyer,8
365,James,Clark,+374 (86) 439657,4.0,Occasional Buyer,6
366,Jennifer,Bauer,+374 (49) 826160,0.0,Inactive,7
367,Stephanie,Brown,+374 (98) 680701,4.0,Occasional Buyer,7
368,George,Mcintyre,+374 (51) 206527,0.0,Inactive,7
369,Kathleen,Wheeler,+374 (16) 752484,4.0,Occasional Buyer,6
370,Daniel,Wright,+374 (99) 158941,4.0,Occasional Buyer,7
371,David,Watson,+374 (18) 869136,3.0,Occasional Buyer,8
372,Crystal,Sanford,+374 (96) 383802,6.0,Frequent Buyer,9
373,Katherine,Walker,+374 (15) 699390,0.0,Inactive,8
374,Chad,Gutierrez,+374 (47) 336539,4.0,Occasional Buyer,10
375,Bryan,Estrada,+374 (52) 416062,4.0,Occasional Buyer,6
376,Brian,Green,+374 (67) 000941,6.0,Frequent Buyer,8
377,Laura,Hess,+374 (28) 664888,4.0,Occasional Buyer,7
378,Angela,Wagner,+374 (31) 031656,3.0,Occasional Buyer,10
379,David,Perez,+374 (17) 112617,1.0,One-Time Buyer,6
380,Robert,Ross,+374 (73) 418836,3.0,Occasional Buyer,6
381,Edward,Conner,+374 (54) 863403,2.0,Occasional Buyer,6
382,Meghan,Williams,+374 (28) 315365,1.0,One-Time Buyer,4
383,Ariel,Vazquez,+374 (90) 080038,5.0,Occasional Buyer,6
384,Elizabeth,Perry,+374 (88) 357236,2.0,Occasional Buyer,6
385,Vincent,Hughes,+374 (28) 657996,1.0,One-Time Buyer,7
